"Name","test_exact_match","test_f1","Runtime","Notes","State","Tags","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","test_tydiqa_exact_match","test_tydiqa_f1","test_xquad_exact_match","test_xquad_f1","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second","val_exact_match","val_f1"
"th_wordnet_aug_1.0","41.10117482027003","54.7132840853487","4566","-","finished","slem","2.396066904067993","7.486","301.362","2.404","43.15719655096175","56.75671221997979","33.220338983050844","46.880720142183144","20","5640","4.432624113475178e-8","0.1107","76607636381752320","0.7973238606824943","4217.3024","85.562","1.337","51.59574468085106","62.90026317777559"
"th_wordnet_aug_0.9","38.59372260213922","53.270917602378965","4383","-","finished","slem","2.3119001388549805","7.5081","300.477","2.397","40.65885474242759","55.226900096859296","30.677966101694917","45.773537244299966","20","5360","5.597014925373134e-8","0.1424","72777679169894400","0.8395469637059454","4040.7511","84.836","1.326","49.68971631205674","61.85138464757784"
"th_wordnet_aug_0.8","39.224969314395935","52.98207591662219","4195","-","finished","slem","2.2413976192474365","7.5166","300.134","2.395","41.101039133318594","54.73633417748751","32.03389830508475","46.257914803154115","20","5080","4.429133858267717e-8","0.1569","68947721958036480","0.8549222292862539","3844.4154","84.476","1.321","47.916666666666664","60.22559863044064"
"th_wordnet_aug_0.7","39.049623005435734","53.857083254037015","3960","-","finished","slem","2.1636674404144287","7.4843","301.431","2.405","41.07892991377405","55.77280866058604","31.271186440677965","46.51401036096946","20","4800","4.6875e-8","0.1598","65117764746178560","0.906015768845876","3628.1722","84.538","1.323","51.41843971631206","63.04435083468628"
"th_wordnet_aug_0.6","40.87322461862178","54.903597637254414","3795","-","finished","slem","2.0737075805664062","7.4701","302.002","2.41","43.57727172230821","57.35346376526454","30.508474576271187","45.51313619912823","20","4520","4.9778761061946906e-8","0.1623","61287807534320640","0.914990480811195","3454.6001","83.564","1.308","51.1081560283688","62.643490652721006"
"th_wordnet_aug_0.5","38.87427669647554","53.39627243540357","3569","-","finished","slem","2.011191129684448","7.4747","301.819","2.408","40.65885474242759","55.2269950585363","32.03389830508475","46.37901953334605","19.95","4220","4.739336492890996e-8","0.1843","57318791454737280","0.965116995318806","3248.3382","83.31","1.299","49.955673758865245","61.75851311548282"
"th_wordnet_aug_0.4","40.57513589338944","54.56555257726123","3374","-","finished","slem","1.93798828125","7.482","301.525","2.406","42.18439089100155","56.32289319444757","34.40677966101695","47.8295766352845","19.95","3940","6.979695431472081e-8","0.2443","53490108064568450","0.9883345937970932","3045.6076","82.933","1.294","51.32978723404256","63.37718320076668"
"th_wordnet_aug_0.3","39.75100824127652","54.46470145086789","3160","-","finished","slem","1.926059603691101","7.5284","299.666","2.391","41.78642493919965","56.333770924658765","31.94915254237288","47.30046312039805","19.95","3660","5.464480874316941e-8","0.2253","49661424674399620","1.0222986158777456","2850.1654","82.29","1.284","50.044326241134755","61.79041013423841"
"th_wordnet_aug_0.2","38.59372260213922","53.00180084415869","2960","-","finished","slem","1.9297504425048828","7.4688","302.058","2.41","40.70307318151669","54.88922564854031","30.508474576271187","45.76720559821262","19.94","3380","5.91715976331361e-8","0.2402","45832741284230780","1.0503386593429294","2655.0688","81.542","1.273","48.758865248226954","60.85204323718331"
"th_wordnet_aug_0.1","39.87375065754866","54.60444856177606","2798","-","finished","slem","1.7267720699310305","7.4838","301.451","2.405","41.91908025646695","56.63486583811304","32.03389830508475","46.82175590002111","19.94","3100","8.06451612903226e-8","0.3456","42004057894061950","1.1550321419008316","2468.6859","80.391","1.256","51.32978723404256","62.564199472207505"
"th_thai2fit_aug_1.0","40.82062072593372","54.69003625363637","4644","-","finished","slem","2.3709001541137695","7.5297","299.615","2.391","42.80344903824895","56.72682959267366","33.220338983050844","46.882903819344506","20","5640","4.432624113475178e-8","0.1083","76607636381752320","0.8064214094310788","4280.3881","84.301","1.318","52.17198581560284","63.78292022915293"
"th_thai2fit_aug_0.9","38.08521830615466","52.15270079237821","4417","-","finished","slem","2.33392333984375","7.5061","300.555","2.398","39.86292283882379","54.06366860702072","31.271186440677965","44.82786399099962","20","5360","4.197761194029851e-8","0.1225","72777679169894400","0.8147910473951653","4057.56","84.484","1.321","50.177304964539005","61.49240029766735"
"th_thai2fit_aug_0.8","39.10222689812379","53.642819969113305","4186","-","finished","slem","2.2984209060668945","7.4783","301.672","2.407","40.90205615741764","55.3517903453402","32.20338983050848","47.09224962023803","20","5080","4.429133858267717e-8","0.1291","68947721958036480","0.8180720216645969","3843.3312","84.5","1.322","50.88652482269504","62.66680518620302"
"th_thai2fit_aug_0.7","39.9088199193407","53.50203034251419","4048","-","finished","slem","1.9165514707565308","7.5106","300.376","2.397","42.05173557373425","55.49330372431029","31.694915254237287","45.86937821890203","20","4800","5.208333333333333e-8","0.3951","65117764746178560","1.120068130493164","3699.5348","82.908","1.297","50.13297872340426","62.255856302125125"
"th_thai2fit_aug_0.6","38.87427669647554","53.60546481881936","3873","-","finished","slem","2.101970672607422","7.4932","301.072","2.402","40.87994693787309","55.64785829656217","31.1864406779661","45.776866768116705","20","4520","5.530973451327434e-8","0.2094","61287807534320640","0.9539911953748856","3508.6537","82.277","1.288","50.31028368794326","62.56110361497707"
"th_thai2fit_aug_0.5","35.73557776608802","52.066994319796464","3698","-","finished","slem","2.0149593353271484","7.5362","299.355","2.388","36.81185054167588","53.61236675015267","31.610169491525426","46.14350321598316","19.95","4220","5.33175355450237e-8","0.169","57318791454737280","0.9186275970314352","3323.7731","81.42","1.27","50.797872340425535","62.341895891467054"
"th_thai2fit_aug_0.4","41.031036296685954","54.243386431290006","3446","-","finished","slem","2.0789103507995605","7.4909","301.166","2.403","42.89188591642715","56.08616080441081","33.898305084745765","47.1799385587272","19.95","3940","5.7106598984771576e-8","0.2218","53490108064568450","0.9735377732872358","3082.5319","81.939","1.278","50.576241134751776","62.25253006446045"
"th_thai2fit_aug_0.3","34.560757496054705","50.63777697997117","3237","-","finished","slem","1.979722499847412","7.4673","302.118","2.411","35.640061905814726","52.294489126246376","30.42372881355932","44.28751508369894","19.95","3660","5.464480874316941e-8","0.2238","49661424674399620","1.0336649337101504","2898.1008","80.929","1.263","48.49290780141844","60.88001538648516"
"th_thai2fit_aug_0.2","37.576714010170086","52.70729229143753","3046","-","finished","slem","1.8686106204986572","7.4874","301.306","2.404","39.57550298474464","54.86971090650309","29.915254237288135","44.418631786403495","19.94","3380","7.396449704142014e-8","0.3048","45832741284230780","1.0862087768915842","2709.6631","79.899","1.247","48.27127659574468","60.41218561773301"
"th_thai2fit_aug_0.1","39.593196563212345","53.96761819848807","2839","-","finished","slem","1.5903316736221311","7.521","299.959","2.393","41.985407915100595","56.287543240484254","30.42372881355932","45.075227550227595","19.94","3100","9.67741935483871e-8","0.5839","42004057894061950","1.4121824375275642","2498.351","79.436","1.241","51.551418439716315","63.21027986620511"
"th_qcpg_0.8_llm_gec_aug_1.0","41.451867438190426","55.039059185298456","4810","-","finished","slem","2.226405382156372","7.4996","300.814","2.4","43.2235242095954","56.672898650272415","34.66101694915254","48.776469439471235","20","5640","3.9893617021276594e-8","0.2521","76607636381752320","1.0730040421722629","4389.3528","82.208","1.285","50.39893617021277","62.34782306407256"
"th_qcpg_0.8_llm_gec_aug_0.9","38.45344555497107","53.44888395384967","4578","-","finished","slem","2.166442632675171","7.5247","299.813","2.392","40.10612425381384","55.053054171991384","32.11864406779661","47.300017939736954","20","5360","4.6641791044776125e-8","0.2888","72777679169894400","1.162053065513497","4179.6678","82.016","1.282","50.13297872340426","61.97809446755144"
"th_qcpg_0.8_llm_gec_aug_0.8","40.27704716815711","54.035115665893166","4368","-","finished","slem","2.0921738147735596","7.5143","300.229","2.395","41.852752597833295","55.69650931943943","34.23728813559322","47.66690931420819","20","5080","5.4133858267716537e-8","0.3387","68947721958036480","1.1471282718688485","3970.181","81.8","1.28","50.22163120567376","62.35579271757315"
"th_qcpg_0.8_llm_gec_aug_0.7","40.34718569174119","53.70860347274274","4182","-","finished","slem","2.1296021938323975","7.5027","300.693","2.399","41.852752597833295","55.24124164669992","34.57627118644068","47.83392342121154","20","4800","4.6875e-8","0.2655","65117764746178560","1.1145172762870788","3796.2943","80.795","1.264","50.709219858156025","62.26912278637096"
"th_qcpg_0.8_llm_gec_aug_0.6","40.171839382780995","53.87988035003001","3936","-","finished","slem","2.044874668121338","7.4999","300.804","2.4","41.91908025646695","55.48979928403574","33.47457627118644","47.708979215702456","20","4520","5.530973451327434e-8","0.2824","61287807534320640","1.1218096133881963","3548.8537","81.345","1.274","50.797872340425535","62.213950035404515"
"th_qcpg_0.8_llm_gec_aug_0.5","37.90987199719446","52.009568032058795","3721","-","finished","slem","1.949827551841736","7.5249","299.806","2.392","39.53128454565554","53.65572942948877","31.694915254237287","45.69974769258895","19.95","4220","7.109004739336494e-8","0.3221","57318791454737280","1.180243024780852","3349.6881","80.79","1.26","49.60106382978723","61.44928804855279"
"th_qcpg_0.8_llm_gec_aug_0.4","39.15483079081185","53.820373985293465","3514","-","finished","slem","1.8740675449371336","7.5692","298.052","2.378","40.83572849878399","55.507784705159175","32.71186440677966","47.352442895504495","19.95","3940","5.0761421319796964e-8","0.3007","53490108064568450","1.1779547454136885","3140.1609","80.435","1.255","51.152482269503544","62.53338084063998"
"th_qcpg_0.8_llm_gec_aug_0.3","39.06715763633176","53.12017354951231","3319","-","finished","slem","1.8448468446731567","7.5658","298.184","2.379","40.65885474242759","54.6759794724752","32.96610169491525","47.15669033802135","19.95","3660","6.147540983606558e-8","0.3507","49661424674399620","1.2300272665388596","2946.6675","79.595","1.242","51.241134751773046","62.568147536093235"
"th_qcpg_0.8_llm_gec_aug_0.2","37.90987199719446","52.344184995194176","3106","-","finished","slem","1.908196210861206","7.4873","301.31","2.404","39.68604908246739","54.09834563531443","31.10169491525424","45.62039806700567","19.94","3380","4.4378698224852075e-8","0.2945","45832741284230780","1.1436805984677647","2732.8951","79.22","1.237","49.60106382978723","61.379751632215665"
"th_qcpg_0.8_llm_gec_aug_0.1","38.82167280378748","53.62636473035525","2900","-","finished","slem","1.7787011861801147","7.5073","300.509","2.398","40.32721644925934","55.36539206582596","33.05084745762712","46.96058452837852","19.94","3100","7.258064516129035e-8","0.3421","42004057894061950","1.2007008644842332","2543.2073","78.035","1.219","50.88652482269504","62.57466042824447"
"th_qcpg_0.8_aug_1.0","40.7154129405576","54.425862202395976","4798","-","finished","slem","2.2108287811279297","7.5398","299.214","2.387","42.206500110546095","55.92212407820536","35","48.690614351307254","20","5640","4.432624113475178e-8","0.2606","76607636381752320","1.0980148464229935","4395.9197","82.085","1.283","50.709219858156025","62.05306745356815"
"th_qcpg_0.8_aug_0.9","39.7334736103805","54.40969612055445","4586","-","finished","slem","2.0485007762908936","7.5197","300.013","2.394","41.38845898739775","55.92819275612519","33.389830508474574","48.58922130471954","20","5360","5.597014925373134e-8","0.2912","72777679169894400","1.13587542149558","4182.5802","81.959","1.282","50.75354609929078","62.28805922437152"
"th_qcpg_0.8_aug_0.8","40.61020515518148","54.497190589734174","4354","-","finished","slem","2.0073609352111816","7.5144","300.224","2.395","42.36126464735795","56.22350373358712","33.898305084745765","47.88014453071258","20","5080","3.9370078740157486e-8","0.2571","68947721958036480","1.0919400763323928","3964.3641","81.92","1.281","51.1081560283688","62.46849219940591"
"th_qcpg_0.8_aug_0.7","40.29458179905313","54.23209415395795","4121","-","finished","slem","2.086282968521118","7.532","299.522","2.39","41.896971036922395","55.72445540748979","34.152542372881356","48.51179758639616","20","4800","4.1666666666666676e-8","0.325","65117764746178560","1.2041201559702557","3751.3475","81.763","1.28","50.354609929078016","62.15292611510542"
"th_qcpg_0.8_aug_0.6","39.049623005435734","53.17234522369811","3895","-","finished","slem","1.97491717338562","7.5185","300.06","2.394","40.68096396197214","54.82825477625707","32.79661016949152","46.82515970995009","20","4520","4.4247787610619476e-8","0.2789","61287807534320640","1.122399276969707","3513.8518","82.155","1.286","48.847517730496456","61.37895759181883"
"th_qcpg_0.8_aug_0.5","38.62879186393126","52.81448869408106","3658","-","finished","slem","1.945042371749878","7.5465","298.948","2.385","40.06190581472474","54.115204317737245","33.13559322033898","47.828779570525384","19.95","4220","5.924170616113744e-8","0.3989","57318791454737280","1.2364080239246242","3296.1405","82.102","1.28","48.537234042553195","60.59998506054552"
"th_qcpg_0.8_aug_0.4","38.17289146063475","53.25676713827577","3432","-","finished","slem","1.9510831832885744","7.4978","300.89","2.401","39.81870439973469","54.97708723183461","31.864406779661017","46.662692745763266","19.95","3940","6.979695431472081e-8","0.3169","53490108064568450","1.194532142677888","3085.4779","81.861","1.277","50.265957446808514","61.93326064493153"
